,ACK,BCC,MEL,NEV,SCC,SEK
ACK,70,14,1,1,19,4
BCC,20,84,0,3,19,1
MEL,0,0,6,1,0,1
NEV,0,1,0,30,0,5
SCC,5,13,0,3,8,0
SEK,1,0,0,6,3,25
