,precision,recall,f1-score,support
ACK,0.7291666666666666,0.6422018348623854,0.6829268292682927,109.0
BCC,0.75,0.6614173228346457,0.702928870292887,127.0
MEL,0.8571428571428571,0.75,0.8,8.0
NEV,0.6818181818181818,0.8333333333333334,0.75,36.0
SCC,0.16326530612244897,0.27586206896551724,0.20512820512820512,29.0
SEK,0.6944444444444444,0.7142857142857143,0.704225352112676,35.0
accuracy,0.6482558139534884,0.6482558139534884,0.6482558139534884,0.6482558139534884
macro avg,0.6459729093657666,0.6461833790469327,0.6408682094670102,344.0
weighted avg,0.6836395741347983,0.6482558139534884,0.6619406865991342,344.0
