,precision,recall,f1-score,support
ACK,0.76,0.6972477064220184,0.7272727272727273,109.0
BCC,0.7636363636363637,0.6614173228346457,0.7088607594936709,127.0
MEL,0.625,0.625,0.625,8.0
NEV,0.6595744680851063,0.8611111111111112,0.7469879518072289,36.0
SCC,0.24444444444444444,0.3793103448275862,0.2972972972972973,29.0
SEK,0.7647058823529411,0.7428571428571429,0.7536231884057971,35.0
accuracy,0.6773255813953488,0.6773255813953488,0.6773255813953488,0.6773255813953488
macro avg,0.6362268597531425,0.661157271342084,0.6431736540461203,344.0
weighted avg,0.7047095750119879,0.6773255813953488,0.6865931488642681,344.0
