,ACK,BCC,MEL,NEV,SCC,SEK
ACK,76,15,3,1,13,1
BCC,15,84,0,5,21,2
MEL,0,0,5,2,0,1
NEV,1,0,0,31,0,4
SCC,4,11,0,3,11,0
SEK,4,0,0,5,0,26
