,ACK,BCC,MEL,NEV,SCC,SEK
ACK,72,11,1,0,21,4
BCC,17,86,1,2,20,1
MEL,0,0,5,2,0,1
NEV,0,1,1,31,0,3
SCC,4,12,0,4,9,0
SEK,2,1,1,5,2,24
