,precision,recall,f1-score,support
ACK,0.7578947368421053,0.6605504587155964,0.7058823529411765,109.0
BCC,0.7747747747747747,0.6771653543307087,0.7226890756302521,127.0
MEL,0.5555555555555556,0.625,0.5882352941176471,8.0
NEV,0.7045454545454546,0.8611111111111112,0.775,36.0
SCC,0.17307692307692307,0.3103448275862069,0.2222222222222222,29.0
SEK,0.7272727272727273,0.6857142857142857,0.7058823529411765,35.0
accuracy,0.6598837209302325,0.6598837209302325,0.6598837209302325,0.6598837209302325
macro avg,0.6155200286779233,0.6366476729096515,0.6199852163087457,344.0
weighted avg,0.701420871348962,0.6598837209302325,0.675810750656852,344.0
