,precision,recall,f1-score,support
ACK,0.5916666666666667,0.8160919540229885,0.6859903381642513,87.0
BCC,0.7918918918918919,0.8825301204819277,0.8347578347578347,332.0
MEL,0.4647713226205192,0.831858407079646,0.5963521015067407,452.0
NEV,0.9582772543741588,0.5527950310559007,0.7011324470704087,1288.0
SCC,0.7101449275362319,0.7777777777777778,0.7424242424242424,63.0
SEK,0.5710455764075067,0.8129770992366412,0.6708661417322834,262.0
accuracy,0.6900161030595813,0.6900161030595813,0.6900161030595813,0.6900161030595813
macro avg,0.6812996065828293,0.7790050649424803,0.7052538509426268,2484.0
weighted avg,0.7862616429227249,0.6900161030595813,0.6972504664549958,2484.0
