,ACK,BCC,MEL,NEV,SCC,SEK
ACK,72,14,1,1,17,4
BCC,15,89,0,3,19,1
MEL,0,0,5,2,0,1
NEV,0,2,0,31,0,3
SCC,5,10,0,4,10,0
SEK,1,0,0,8,2,24
