,ACK,BCC,MEL,NEV,SCC,SEK
ACK,66,15,1,2,20,5
BCC,11,70,0,11,32,3
MEL,0,0,5,1,0,2
NEV,0,0,0,32,0,4
SCC,3,5,0,7,13,1
SEK,2,0,0,6,2,25
