,precision,recall,f1-score,support
ACK,0.8048780487804879,0.6055045871559633,0.6910994764397905,109.0
BCC,0.7777777777777778,0.5511811023622047,0.6451612903225806,127.0
MEL,0.8333333333333334,0.625,0.7142857142857143,8.0
NEV,0.5423728813559322,0.8888888888888888,0.6736842105263158,36.0
SCC,0.19402985074626866,0.4482758620689655,0.2708333333333333,29.0
SEK,0.625,0.7142857142857143,0.6666666666666666,35.0
accuracy,0.6133720930232558,0.6133720930232558,0.6133720930232558,0.6133720930232558
macro avg,0.6295653153323,0.6388560257936228,0.6102884485957335,344.0
weighted avg,0.6982658173313168,0.6133720930232558,0.6349411165585406,344.0
