,ACK,BCC,MEL,NEV,SCC,SEK
ACK,74,13,1,1,17,3
BCC,16,81,0,3,27,0
MEL,0,1,6,1,0,0
NEV,0,0,0,34,0,2
SCC,6,9,0,3,11,0
SEK,3,0,1,6,2,23
