,precision,recall,f1-score,support
ACK,0.7474747474747475,0.6788990825688074,0.7115384615384616,109.0
BCC,0.7788461538461539,0.6377952755905512,0.7012987012987013,127.0
MEL,0.75,0.75,0.75,8.0
NEV,0.7083333333333334,0.9444444444444444,0.8095238095238095,36.0
SCC,0.19298245614035087,0.3793103448275862,0.2558139534883721,29.0
SEK,0.8214285714285714,0.6571428571428571,0.7301587301587301,35.0
accuracy,0.6656976744186046,0.6656976744186046,0.6656976744186046,0.6656976744186046
macro avg,0.6665108770371929,0.6745986674290411,0.6597222760013458,344.0
weighted avg,0.7157985472130208,0.6656976744186046,0.6823826881459385,344.0
