,precision,recall,f1-score,support
ACK,0.84,0.7706422018348624,0.8038277511961722,109.0
BCC,0.7734375,0.7795275590551181,0.7764705882352941,127.0
MEL,1.0,0.75,0.8571428571428571,8.0
NEV,0.7045454545454546,0.8611111111111112,0.775,36.0
SCC,0.18181818181818182,0.20689655172413793,0.1935483870967742,29.0
SEK,0.7575757575757576,0.7142857142857143,0.7352941176470589,35.0
accuracy,0.7296511627906976,0.7296511627906976,0.7296511627906976,0.7296511627906976
macro avg,0.7095628156565655,0.6804105230018239,0.6902139502196928,344.0
weighted avg,0.7410990629404511,0.7296511627906976,0.7335300284501789,344.0
