,ACK,BCC,MEL,NEV,SCC,SEK
ACK,84,11,0,1,9,4
BCC,9,99,0,2,17,0
MEL,0,0,6,2,0,0
NEV,1,0,0,31,0,4
SCC,3,18,0,2,6,0
SEK,3,0,0,6,1,25
