,precision,recall,f1-score,support
ACK,0.7741935483870968,0.6605504587155964,0.7128712871287128,109.0
BCC,0.7739130434782608,0.7007874015748031,0.7355371900826446,127.0
MEL,0.8333333333333334,0.625,0.7142857142857143,8.0
NEV,0.6326530612244898,0.8611111111111112,0.7294117647058823,36.0
SCC,0.20833333333333334,0.3448275862068966,0.2597402597402597,29.0
SEK,0.7272727272727273,0.6857142857142857,0.7058823529411765,35.0
accuracy,0.6715116279069767,0.6715116279069767,0.6715116279069767,0.6715116279069767
macro avg,0.6582831745048736,0.6463318072204488,0.6429547614807317,344.0
weighted avg,0.7081757043252707,0.6715116279069767,0.6840920132750924,344.0
