,precision,recall,f1-score,support
ACK,0.8631578947368421,0.7522935779816514,0.803921568627451,109.0
BCC,0.7916666666666666,0.7480314960629921,0.7692307692307693,127.0
MEL,0.8,0.5,0.6153846153846154,8.0
NEV,0.6382978723404256,0.8333333333333334,0.7228915662650602,36.0
SCC,0.1794871794871795,0.2413793103448276,0.20588235294117646,29.0
SEK,0.6842105263157895,0.7428571428571429,0.7123287671232876,35.0
accuracy,0.7093023255813954,0.7093023255813954,0.7093023255813954,0.7093023255813954
macro avg,0.6594700232578171,0.6363158100966578,0.6382732732620601,344.0
weighted avg,0.7359217942541239,0.7093023255813954,0.7185146135637446,344.0
