,ACK,BCC,MEL,NEV,SCC,SEK
ACK,82,11,0,2,10,4
BCC,6,95,0,3,22,1
MEL,0,0,4,3,0,1
NEV,0,0,0,30,0,6
SCC,5,14,0,3,7,0
SEK,2,0,1,6,0,26
