,ACK,BCC,MEL,NEV,SCC,SEK
ACK,69,14,0,1,23,2
BCC,13,81,0,6,27,0
MEL,0,0,5,2,0,1
NEV,0,0,1,30,0,5
SCC,8,11,0,4,6,0
SEK,1,1,0,6,2,25
