,precision,recall,f1-score,support
ACK,0.7582417582417582,0.6330275229357798,0.69,109.0
BCC,0.7570093457943925,0.6377952755905512,0.6923076923076923,127.0
MEL,0.8333333333333334,0.625,0.7142857142857143,8.0
NEV,0.6122448979591837,0.8333333333333334,0.7058823529411765,36.0
SCC,0.10344827586206896,0.20689655172413793,0.13793103448275862,29.0
SEK,0.7575757575757576,0.7142857142857143,0.7352941176470589,35.0
accuracy,0.627906976744186,0.627906976744186,0.627906976744186,0.627906976744186
macro avg,0.6369755614610823,0.6083897329782527,0.6126168186107334,344.0
weighted avg,0.6889859682342683,0.627906976744186,0.651146574014221,344.0
