epoch,seconds,train_loss,train_macro_f1,train_balanced_acc,train_high_risk_recall,val_loss,val_macro_f1,val_balanced_acc,val_high_risk_recall
1,101.3,0.9986767979403633,0.28462680690466674,0.35147935778856265,0.956687898089172,1.4291397153986671,0.30881321357050656,0.4668899755106652,0.9329268292682927
2,81.8,0.4730360580617516,0.4911412750993995,0.567819858367956,0.9536585365853658,1.3137543380605003,0.3582887169305839,0.5138709690433828,0.8475609756097561
3,77.4,0.2992128405108381,0.6376319256361048,0.6941006816006817,0.9364881693648817,1.1459985558008183,0.47240263631849394,0.5905742189749793,0.8353658536585366
4,74.6,0.21871378039246175,0.7187671188273642,0.7546008971409514,0.940149625935162,1.009426367076146,0.604893948212818,0.6671041591079603,0.8658536585365854
5,78.3,0.16897882246852514,0.7787311414330013,0.8031371485483412,0.9472450175849941,1.0847554806339947,0.5536841341505679,0.6290093931588637,0.8475609756097561
6,77.1,0.18595471051498433,0.7900682471127226,0.8070663707575655,0.9473007712082262,1.0338307171198673,0.590172465140511,0.6456340960006449,0.8536585365853658
7,74.4,0.15102356794609953,0.8180530651988981,0.8300424223306302,0.9464508094645081,1.0126592389420968,0.6446687517693871,0.676436613240849,0.8902439024390244
8,79.2,0.13378041619388617,0.8305754171098094,0.8420137923981913,0.9431680773881499,1.0418533314170175,0.6287464622724738,0.668235483209689,0.8658536585365854
