,precision,recall,f1-score,support
ACK,0.8735632183908046,0.6972477064220184,0.7755102040816326,109.0
BCC,0.82,0.3228346456692913,0.4632768361581921,127.0
MEL,0.8333333333333334,0.625,0.7142857142857143,8.0
NEV,0.62,0.8611111111111112,0.7209302325581395,36.0
SCC,0.17857142857142858,0.6896551724137931,0.28368794326241137,29.0
SEK,0.7435897435897436,0.8285714285714286,0.7837837837837838,35.0
accuracy,0.5872093023255814,0.5872093023255814,0.5872093023255814,0.5872093023255814
macro avg,0.6781762873142183,0.6707366773646072,0.6235791190216456,344.0
weighted avg,0.754503691643828,0.5872093023255814,0.6124823468325856,344.0
