,ACK,BCC,MEL,NEV,SCC,SEK
ACK,76,5,1,1,21,5
BCC,9,41,0,7,70,0
MEL,0,0,5,3,0,0
NEV,0,0,0,31,0,5
SCC,2,4,0,3,20,0
SEK,0,0,0,5,1,29
